Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
National,2019-01-01,,,,,77433867,248733553,897784368,241667151,234284795,108078903,129670778,116904343,40432062,15686639,7525563,1806022,1728112,00-00000-20190101
National,2019-01-02,,,,,61305201,264862219,1139452281,291276735,285887315,138039296,171637514,167412698,56148976,17739183,7817044,1962301,1531219,00-00000-20190102
National,2019-01-03,,,,,63050480,263116940,1162752684,296375014,290074425,140771581,175775410,172027487,57632422,18366626,8124548,2038099,1567072,00-00000-20190103
National,2019-01-04,,,,,61803652,264363768,1181953829,293159631,295643296,145251819,181324645,176144493,58761592,19315785,8687318,2096065,1569185,00-00000-20190104
National,2019-01-05,,,,,64389745,261777675,1180476620,295459014,304168709,148540651,180941769,165239790,54842134,19363939,8490791,1991159,1438664,00-00000-20190105
National,2019-01-06,,,,,66498949,259668471,1073940581,268535036,285817694,136432949,163231150,144091310,46931537,17418975,8160971,1917898,1403061,00-00000-20190106
National,2019-01-07,,,,,62840591,263326829,1144741952,301592063,286444719,137699110,169846852,165178406,55660657,17491604,7584683,1815569,1428289,00-00000-20190107
National,2019-01-08,,,,,63064293,263103127,1141497715,299541016,285368410,136696978,169468215,166322929,55968279,17369502,7471402,1856802,1434182,00-00000-20190108
National,2019-01-09,,,,,62305155,263862265,1135628554,291070223,285839600,137586966,170647903,166169173,55640198,17543261,7709071,1923976,1498183,00-00000-20190109
National,2019-01-10,,,,,61355771,264811649,1161334504,297556678,290556495,140392680,174998777,171169293,57136281,18087977,7940284,1975790,1520249,00-00000-20190110
National,2019-01-11,,,,,59834641,266332779,1184885473,295273737,297378068,145572753,181250583,175850109,58430729,19057189,8515550,2035490,1521265,00-00000-20190111
National,2019-01-12,,,,,63296966,262870454,1182862624,296713405,306038693,148874313,180918787,164952150,54516839,19155431,8351726,1941597,1399683,00-00000-20190112
National,2019-01-13,,,,,65948772,260218648,1078662870,270508532,288192412,137008634,163602272,144148595,46690008,17211139,8047182,1882036,1372060,00-00000-20190113
National,2019-01-14,,,,,61722485,264444935,1145155833,298317431,287269097,138304328,170770204,165997057,55849495,17633915,7701540,1856021,1456745,00-00000-20190114
National,2019-01-15,,,,,61673843,264493577,1142410683,298675479,286019214,136884608,169916779,166784833,56004505,17370369,7462159,1859764,1432973,00-00000-20190115
National,2019-01-16,,,,,60899469,265267951,1139136441,291561370,285734009,137771736,171452092,167448291,56190881,17703086,7788977,1955532,1530467,00-00000-20190116
National,2019-01-17,,,,,60839618,265327802,1162089560,297062208,289768260,140493894,175350036,171748098,57611883,18342675,8110617,2037130,1564759,00-00000-20190117
National,2019-01-18,,,,,60749716,265417704,1182335150,293681261,295908234,145287965,181237789,175936819,58682165,19265681,8668062,2097773,1569401,00-00000-20190118
National,2019-01-19,,,,,63773105,262394315,1181267634,296003351,304464130,148634601,180961289,165181339,54810039,19324002,8463729,1989875,1435279,00-00000-20190119
National,2019-01-20,,,,,66262767,259904653,1075289414,268983586,286042518,136710819,163422208,144096908,46991008,17478237,8204796,1938618,1420716,00-00000-20190120
National,2019-01-21,,,,,63675160,262492260,1115422486,282498500,285772483,137908784,167618586,157962186,53770892,18330939,8166452,1919540,1474124,00-00000-20190121
National,2019-01-22,,,,,60955427,265211993,1140602508,296526005,285272074,137192255,170289318,166702583,56025663,17572775,7632484,1918840,1470511,00-00000-20190122
National,2019-01-23,,,,,60742079,265425341,1143585870,291207775,286081057,138753881,172810200,168622395,56606188,17972931,7957701,2008048,1565694,00-00000-20190123
National,2019-01-24,,,,,60830058,265337362,1164835137,294518148,289893655,141434032,176979871,173163623,58139020,18666614,8322303,2101234,1616637,00-00000-20190124
National,2019-01-25,,,,,60015494,266151926,1178624281,290515327,293637818,144894807,181493242,176643645,59166261,19621946,8879860,2154473,1616902,00-00000-20190125
National,2019-01-26,,,,,63012103,263155317,1177258165,293648378,301991642,148105424,180949005,165585553,55186748,19612895,8656303,2041776,1480441,00-00000-20190126
National,2019-01-27,,,,,66840703,259326717,1067878458,266115465,283215237,135579278,162675145,144029456,47119173,17565403,8230008,1933339,1415954,00-00000-20190127
National,2019-01-28,,,,,61917802,264249618,1144329228,304865284,285619431,137092970,168934307,164354867,55471410,17348608,7467523,1775221,1399607,00-00000-20190128
National,2019-01-29,,,,,61937470,264229950,1141498068,303423986,284817838,136011265,168213637,165482737,55873028,17166648,7317708,1792090,1399131,00-00000-20190129
National,2019-01-30,,,,,62410001,263757419,1124175855,290438757,285711727,136229479,167695317,162432540,54129071,16952766,7378939,1808528,1398731,00-00000-20190130
National,2019-01-31,,,,,61961538,264205882,1157078359,301079353,292010528,139249612,172668549,168601822,55657421,17254655,7388177,1789046,1379196,00-00000-20190131
National,2019-02-01,,,,,60777620,265389800,1198174745,302756774,303732108,147085258,181701325,175622441,57654181,18352937,8024829,1861915,1382977,00-00000-20190201
National,2019-02-02,,,,,64097735,262069685,1194545524,301593123,312835115,150443830,181541504,164718077,53759086,18596362,7970025,1799909,1288493,00-00000-20190202
National,2019-02-03,,,,,66388399,259779021,1096945862,277468961,296443631,139260373,165330984,144859656,46130932,16650675,7733991,1781046,1285613,00-00000-20190203
National,2019-02-04,,,,,61732125,264435295,1150303661,292864884,290013405,140036170,173255803,168269480,56446171,17986128,7967603,1944157,1519860,00-00000-20190204
National,2019-02-05,,,,,62535045,263632375,1149446741,297194092,289059838,137961612,171894941,168800309,56324699,17435688,7465498,1875394,1434670,00-00000-20190205
National,2019-02-06,,,,,60769815,265397605,1153956459,294131950,286482129,138846040,174503595,171928073,58064017,18251462,8058395,2057765,1633033,00-00000-20190206
National,2019-02-07,,,,,59764551,266402869,1168726299,296698419,288482725,141328057,177065383,174124982,59258895,19177833,8655569,2229580,1704856,00-00000-20190207
National,2019-02-08,,,,,59180530,266986890,1179096200,289990169,292594370,144981116,181876499,176859517,59659907,19962243,9159413,2292580,1720386,00-00000-20190208
National,2019-02-09,,,,,62506876,263660544,1180969154,295022873,300880122,148498290,181756731,166486827,55899277,19907390,8827518,2142251,1547875,00-00000-20190209
National,2019-02-10,,,,,65729167,260438253,1069184201,265401191,280635927,136324079,163495020,144494965,48084088,18349541,8711724,2116378,1571288,00-00000-20190210
National,2019-02-11,,,,,61161333,265006087,1130411911,288066694,278651200,137146622,170840074,167225625,57238941,18814431,8512214,2205480,1710630,00-00000-20190211
National,2019-02-12,,,,,61266152,264901268,1139447218,291163013,284086900,138643911,172047589,167078320,56310781,18250486,8173615,2103699,1588904,00-00000-20190212
National,2019-02-13,,,,,60916903,265250517,1161329256,291247072,288205690,142256220,177551687,172805878,58059528,18854304,8497690,2173844,1677343,00-00000-20190213
National,2019-02-14,,,,,59283569,266883851,1177520494,287970447,291363102,144795530,182553461,178092354,59967976,19713028,8983963,2301774,1778859,00-00000-20190214
National,2019-02-15,,,,,59306722,266860698,1171939488,282085448,287903038,144251145,182943248,179460571,60863850,20773834,9559047,2333636,1765671,00-00000-20190215
National,2019-02-16,,,,,62446901,263720519,1169574450,287647543,295670102,147053295,181589489,167418727,56535103,20560422,9270955,2206518,1622296,00-00000-20190216
National,2019-02-17,,,,,66614741,259552679,1049564416,258481984,275763626,132684958,161036347,144358636,47672761,17897942,8336649,1924406,1407107,00-00000-20190217
National,2019-02-18,,,,,64072613,262094807,1095404940,270691655,276486438,134008940,167101717,162255834,54848085,18446230,8132206,1939985,1493850,00-00000-20190218
National,2019-02-19,,,,,61805005,264362415,1143910854,295309698,286101104,138082814,171507842,167533782,56281925,17810655,7798869,1977397,1506768,00-00000-20190219
National,2019-02-20,,,,,62190998,263976422,1153739503,292302291,287386647,140223962,175081873,171012842,57490745,18364162,8178018,2078718,1620245,00-00000-20190220
National,2019-02-21,,,,,61675903,264491517,1171987605,293190287,290621129,142817269,179228607,175356229,59088352,19160655,8632641,2199556,1692880,00-00000-20190221
National,2019-02-22,,,,,59452280,266715140,1178438544,287995016,291954341,144936168,182382666,177967059,59956735,20121991,9185671,2247452,1691445,00-00000-20190222
National,2019-02-23,,,,,63037912,263129508,1177361536,292348490,300106987,148074422,181642088,166680895,55890649,20033291,8917258,2122116,1545340,00-00000-20190223
National,2019-02-24,,,,,65380013,260787407,1063640213,263792806,280616865,134959320,162550666,144480067,47582547,17865950,8376253,1969705,1446034,00-00000-20190224
National,2019-02-25,,,,,61297147,264870273,1132685439,285438610,279668228,136559559,171593543,170171621,57920090,18886072,8517006,2183093,1747617,00-00000-20190225
National,2019-02-26,,,,,60950030,265217390,1133134548,286780452,281356022,136172176,171290890,170198454,57356462,18238014,8063083,2060143,1618852,00-00000-20190226
National,2019-02-27,,,,,60845387,265322033,1183114528,295277251,299074078,143975467,180289995,178386030,58158271,17499855,7242608,1774953,1436020,00-00000-20190227
National,2019-02-28,,,,,60665802,265501618,1188670815,291290299,299758243,145306086,182806928,181273746,59293383,18068906,7555030,1846265,1471929,00-00000-20190228
National,2019-03-01,,,,,59783948,266383472,1176494148,286689722,290817743,144724601,182401446,178095455,60161066,20286231,9300990,2291142,1725752,00-00000-20190301
National,2019-03-02,,,,,63493215,262674205,1175970798,291674359,298884878,147875004,181662061,166864927,56108189,20166935,9005651,2156985,1571809,00-00000-20190302
National,2019-03-03,,,,,66580268,259587152,1060796560,262559717,279002562,134655147,162360000,144445899,47781607,18037894,8475767,2003446,1474521,00-00000-20190303
National,2019-03-04,,,,,63904519,262262901,1131539103,286748060,279156156,136852742,171216827,168699423,57577892,18850007,8514745,2194470,1728781,00-00000-20190304
National,2019-03-05,,,,,62404653,263762767,1138823023,291087298,283849564,137634518,171614197,168269248,56644126,18099932,8005842,2047113,1571185,00-00000-20190305
National,2019-03-06,,,,,61656126,264511294,1166068569,292945242,291555842,142153275,177640644,174069842,57903590,18237581,7976202,2009233,1577118,00-00000-20190306
National,2019-03-07,,,,,58709632,267457788,1179407287,290821453,293918934,144308396,181530974,178241482,59450001,18979819,8392184,2116034,1648010,00-00000-20190307
National,2019-03-08,,,,,61675986,264491434,1267276915,305437304,314456318,156126514,197274012,193913275,64872941,21472095,9637126,2321728,1765602,00-00000-20190308
National,2019-03-09,,,,,64286079,261881341,1262709362,310176293,322043579,158789204,195615549,181105298,60405158,21403427,9359951,2193231,1617672,00-00000-20190309
National,2019-03-10,,,,,66315164,259852256,1144733632,280966695,302589236,145013234,175553429,157705128,51552250,19061606,8782886,2018714,1490454,00-00000-20190310
National,2019-03-11,,,,,61745090,264422330,1275242903,316104816,317740136,154174489,194326999,194293358,65053456,20531202,8929008,2247527,1841912,00-00000-20190311
National,2019-03-12,,,,,61046308,265121112,1233247690,310393423,308076490,148677129,186930907,185983422,61951881,19245391,8258067,2080746,1650234,00-00000-20190312
National,2019-03-13,,,,,61299212,264868208,1273013533,315711936,321600931,155165016,194641092,192989140,62867162,18838909,7755301,1897602,1546444,00-00000-20190313
National,2019-03-14,,,,,61108380,265059040,1285743261,314542193,323805065,157229356,198012348,196737523,64261422,19494160,8101881,1975213,1584100,00-00000-20190314
National,2019-03-15,,,,,59971319,266196101,1370791272,327196135,343980413,169339123,213847285,211659564,69387967,22010256,9455455,2206889,1708185,00-00000-20190315
National,2019-03-16,,,,,63112571,263054849,1359662190,330268457,350268592,171177421,210942644,197347182,64702674,22110659,9195169,2085108,1564284,00-00000-20190316
National,2019-03-17,,,,,59760643,266406777,1236161870,301169953,328371275,156697501,189838404,171641479,55526778,20166946,9134726,2070067,1544741,00-00000-20190317
National,2019-03-18,,,,,55794156,270373264,1324019397,325045574,331108743,160150414,202434866,203579875,67635497,21002391,8962003,2236487,1863547,00-00000-20190318
National,2019-03-19,,,,,55956894,270210526,1327107734,326460802,331978507,160041558,203112011,205008902,67562229,20506022,8552565,2131637,1753501,00-00000-20190319
National,2019-03-20,,,,,67134070,259033350,1388905666,337929790,354506313,169777699,213868174,214580964,68237812,19381456,7394567,1738777,1490114,00-00000-20190320
National,2019-03-21,,,,,67596649,258570771,1399327430,336070187,356361039,171628748,216817981,218058523,69526783,19933795,7656176,1778837,1495361,00-00000-20190321
National,2019-03-22,,,,,66575445,259591975,1474821304,345892803,373797307,182837196,231408809,231330078,74248036,22503698,9144871,2036249,1622257,00-00000-20190322
National,2019-03-23,,,,,69662047,256505373,1454403655,347208534,377950306,183333577,226582369,214973069,69263125,22772397,8906612,1925032,1488634,00-00000-20190323
National,2019-03-24,,,,,68798328,257369092,1323624534,318715847,353113075,167688047,203916643,186364262,59624433,21192792,9380155,2066990,1562290,00-00000-20190324
National,2019-03-25,,,,,64287528,261879892,1409900815,344107900,351041136,169670379,215935904,219120884,72954340,22755776,9776386,2457175,2080935,00-00000-20190325
National,2019-03-26,,,,,63689564,262477856,1407688240,342011416,350380468,169198732,216465984,220678180,72959946,22275040,9389077,2358448,1970949,00-00000-20190326
National,2019-03-27,,,,,62771501,263395919,1506518063,363746373,387627905,184162734,232389015,234830178,73422432,20053746,7201380,1629915,1454385,00-00000-20190327
National,2019-03-28,,,,,61967207,264200213,1506564281,357540425,387340231,185064208,234099485,237198827,74397423,20473581,7378226,1638885,1432990,00-00000-20190328
National,2019-03-29,,,,,62383748,263783672,1471183245,339336459,375461911,182837489,232099969,234182583,74050753,21609060,8365252,1780072,1459697,00-00000-20190329
National,2019-03-30,,,,,65715417,260452003,1444995244,340028067,377466628,182137646,225977857,217098110,69091487,22017729,8155005,1681203,1341512,00-00000-20190330
National,2019-03-31,,,,,68247575,257919845,1327730023,315018727,355964747,168102245,205375542,190149688,60055748,20785229,8923429,1895774,1458894,00-00000-20190331
National,2019-04-01,,,,,66552552,259614868,1417796145,346765602,355818612,171803160,217064108,218407884,72180721,22169031,9338646,2311797,1936584,00-00000-20190401
National,2019-04-02,,,,,62850023,263317397,1422683506,349072221,356787804,171779991,217997032,220209125,72213758,21682893,8910553,2204671,1825458,00-00000-20190402
National,2019-04-03,,,,,64056849,262110571,1482157808,359542185,378358267,181301648,228555376,229558922,72935338,20648637,7834320,1838920,1584195,00-00000-20190403
National,2019-04-04,,,,,62791684,263375736,1496524809,359134116,381052574,183540651,232010662,233572527,74378311,21249339,8119276,1879770,1587583,00-00000-20190404
National,2019-04-05,,,,,62656903,263510517,1482474399,347351895,376486617,183900277,232663751,232691059,74402121,22385447,9011384,1989057,1592791,00-00000-20190405
National,2019-04-06,,,,,65270787,260896633,1460377398,347914565,380344032,184191852,227574484,216145980,69414366,22671929,8776712,1881870,1461608,00-00000-20190406
National,2019-04-07,,,,,68364726,257802694,1323792834,319058687,353126733,167722187,203884045,186161066,59596864,21191971,9403824,2078198,1569259,00-00000-20190407
National,2019-04-08,,,,,64120419,262047001,1421527572,342903276,357859121,172106930,218647914,222143175,72779429,21938556,9028532,2213963,1906676,00-00000-20190408
National,2019-04-09,,,,,63450215,262717205,1425477883,343507586,357802841,172182479,220055429,224611948,73099214,21593050,8679190,2129833,1816313,00-00000-20190409
National,2019-04-10,,,,,64689790,261477630,1501433002,358959210,386092021,184043985,232771506,235808413,73629874,19985739,7090754,1601881,1449619,00-00000-20190410
National,2019-04-11,,,,,66044276,260123144,1512792852,357795086,388287735,185994279,235653696,239336641,74910350,20481143,7297415,1610039,1426468,00-00000-20190411
National,2019-04-12,,,,,63268690,262898730,1490580564,344092473,381400997,185398727,235094874,237000948,74559445,21604689,8259553,1735060,1433798,00-00000-20190412
National,2019-04-13,,,,,68469464,257697956,1461620582,343168676,383162953,184541129,228588305,219565814,69582590,22000885,8049721,1642228,1318281,00-00000-20190413
National,2019-04-14,,,,,71096346,255071074,1326037973,316420580,354840210,167923380,204801431,188682308,59884578,20924389,9099631,1962384,1499082,00-00000-20190414
National,2019-04-15,,,,,65310653,260856767,1431917141,342999790,364004234,174424259,220833983,223915407,72415819,21196368,8381140,2003609,1742532,00-00000-20190415
National,2019-04-16,,,,,64213326,261954094,1442339193,346864008,364897193,175032768,222963089,227076257,72935227,20928549,8051077,1926143,1664882,00-00000-20190416
National,2019-04-17,,,,,65067457,261099963,1489931203,354382604,381973510,183023992,231738306,234690921,73583654,20157299,7237818,1653166,1489933,00-00000-20190417
National,2019-04-18,,,,,65079542,261087878,1513578230,358500812,386797332,186137221,235989259,239550416,75226733,20739340,7492042,1671363,1473712,00-00000-20190418
National,2019-04-19,,,,,64250148,261917272,1507270175,349927924,385715733,187511571,237280614,238360537,74998386,21832782,8407351,1774789,1460488,00-00000-20190419
National,2019-04-20,,,,,68862152,257305268,1477870355,347917254,387932246,186847006,230836026,220885300,70006539,22228904,8190829,1683679,1342572,00-00000-20190420
National,2019-04-21,,,,,73016795,253150625,1323655529,318715297,353128618,167696585,203927881,186372443,59622693,21184655,9378536,2066439,1562382,00-00000-20190421
National,2019-04-22,,,,,63911981,262255439,1423766756,344233943,359222063,172778803,218847630,221489768,72465302,21773155,8917571,2176714,1861807,00-00000-20190422
National,2019-04-23,,,,,60290060,265877360,1430170077,346483431,359820769,172991584,220338308,223967408,72754890,21408368,8549315,2087113,1768891,00-00000-20190423
National,2019-04-24,,,,,60147836,266019584,1491187996,357643422,382131644,182782048,231022923,233354611,73384370,20271452,7391550,1698161,1507815,00-00000-20190424
National,2019-04-25,,,,,58427193,267740227,1507637758,358472557,385365620,185229100,234548341,237494441,74846887,20827604,7637181,1720203,1495824,00-00000-20190425
National,2019-04-26,,,,,58535029,267632391,1493482305,347147748,381187270,185607543,235010468,236026823,74657784,21953506,8562305,1833172,1495686,00-00000-20190426
National,2019-04-27,,,,,63335144,262832276,1466635323,346341726,383809544,185193451,229009702,218868773,69659473,22302927,8339303,1736350,1374074,00-00000-20190427
National,2019-04-28,,,,,63362104,262805316,1324513173,318077985,353681288,167780372,204202224,187068379,59708434,21117775,9297065,2036105,1543546,00-00000-20190428
National,2019-04-29,,,,,59306579,266860841,1425760890,343390875,360354281,173102820,219440266,222523183,72562109,21640123,8778889,2131549,1836795,00-00000-20190429
National,2019-04-30,,,,,58251219,267916201,1432684353,345633885,360833191,173399685,221115502,225221967,72938542,21315364,8428377,2047816,1750024,00-00000-20190430
National,2019-05-01,,,,,59149068,267018352,1494201134,356997627,383390648,183287258,231843767,234619354,73539546,20146214,7243061,1651244,1482415,00-00000-20190501
National,2019-05-02,,,,,61574126,264593294,1511332239,358251965,386809684,185785257,235395076,238799411,74996749,20685735,7475629,1667346,1465387,00-00000-20190502
National,2019-05-03,,,,,62278209,263889211,1497141653,347076719,382757876,186178506,235791176,237135313,74743907,21803623,8409963,1781102,1463468,00-00000-20190503
National,2019-05-04,,,,,65666042,260501378,1468730840,345823394,384950477,185519298,229483486,219777793,69755335,22192072,8196654,1687460,1344871,00-00000-20190504
National,2019-05-05,,,,,67056238,259111182,1324724701,317740078,353869329,167796196,204307603,187375498,59740482,21083804,9254713,2022057,1534941,00-00000-20190505
National,2019-05-06,,,,,62908598,263258822,1366451796,317502339,359541758,170953173,215368839,212878046,63501368,16663130,5731573,1556601,2754969,00-00000-20190506
National,2019-05-07,,,,,61950770,264216650,1422993458,335004201,373498421,177544687,223383598,221305021,65603755,16858365,5520508,1537304,2737598,00-00000-20190507
National,2019-05-08,,,,,61923935,264243485,1410488618,328984301,368413731,176115778,222823139,221238747,65717402,16961007,5680951,1602618,2950944,00-00000-20190508
National,2019-05-09,,,,,61323007,264844413,1451370965,343001420,380021280,180598767,227150120,225684147,67104357,17605548,5945098,1600709,2659519,00-00000-20190509
National,2019-05-10,,,,,59411432,266755988,1427921973,319347003,373328743,181543627,228936520,226731233,67966889,18868135,6868091,1672276,2659456,00-00000-20190510
National,2019-05-11,,,,,62713750,263453670,1402831623,324120011,373639481,180381461,221885294,209038258,63145284,19441950,6779635,1632087,2768162,00-00000-20190511
National,2019-05-12,,,,,64909773,261257647,1224498656,271138126,328919066,156494160,195777814,184790987,56239296,18639279,7339707,1868906,3291315,00-00000-20190512
National,2019-05-13,,,,,62447420,263720000,1319413635,302395413,345665289,164946623,209273327,207201636,62006601,16903396,5998515,1731725,3291110,00-00000-20190513
National,2019-05-14,,,,,61148182,265019238,1400090530,330662329,362725790,174705775,221822730,218512804,64406145,16775144,5651907,1647660,3180246,00-00000-20190514
National,2019-05-15,,,,,60589080,265578340,1417027643,335819073,363821064,176436172,224658174,222013139,65861218,17366661,5940058,1755878,3356206,00-00000-20190515
National,2019-05-16,,,,,59610356,266557064,1392645578,320584337,355659512,174574434,223879203,222333719,66186380,17859861,6305737,1835880,3426515,00-00000-20190516
National,2019-05-17,,,,,58746502,267420918,1466250722,341692710,374987870,184435135,234690680,230032901,68490467,19407131,7208588,1886654,3418586,00-00000-20190517
National,2019-05-18,,,,,62554072,263613348,1430020327,339537136,372285533,181582970,226667012,214259962,64202275,19544664,6934663,1770249,3235863,00-00000-20190518
National,2019-05-19,,,,,65624717,260542703,1265926376,294303907,340614770,160990851,200042060,184110658,54610180,18317045,7668250,1953468,3315187,00-00000-20190519
National,2019-05-20,,,,,62139792,264027628,1370610785,317841853,354075669,171468931,218525173,216045279,64399377,17012111,6001491,1767691,3473210,00-00000-20190520
National,2019-05-21,,,,,62137463,264029957,1428454202,336882431,369575201,178007797,226928131,223544210,65752910,16986637,5670626,1675303,3430956,00-00000-20190521
National,2019-05-22,,,,,60854089,265313331,1446273649,341277848,372924084,179993443,230075290,226726200,67097264,17463134,5868378,1663361,3184647,00-00000-20190522
National,2019-05-23,,,,,61098442,265068978,1380205158,313842409,355388624,172990957,221701595,220848725,66263756,17936754,6410736,1767000,3054602,00-00000-20190523
National,2019-05-24,,,,,59407370,266760050,1452759491,332205420,372554659,183230127,233051607,229094786,68884792,20424525,8143122,1995698,3174755,00-00000-20190524
National,2019-05-25,,,,,63132721,263034699,1456129021,348129272,381514513,184514152,229486974,214849312,64249762,20508566,7749548,1914684,3212238,00-00000-20190525
National,2019-05-26,,,,,65063721,261103699,1393406143,336393939,371314512,175531996,217652390,200289294,59709632,19828935,7594264,1847522,3243659,00-00000-20190526
National,2019-05-27,,,,,66667260,259500160,1257760021,296121927,346333084,157003910,191998164,179097415,54603522,19178309,8279044,2002137,3142509,00-00000-20190527
National,2019-05-28,,,,,62466207,263701213,1475848539,351701591,385631385,182299122,230200874,229187042,68247560,17879606,6197088,1665039,2839232,00-00000-20190528
National,2019-05-29,,,,,60831395,265336025,1488148563,353736498,385052267,184438189,234144862,233231930,69352166,17722670,5943075,1652913,2873993,00-00000-20190529
National,2019-05-30,,,,,60311265,265856155,1463744403,340788884,377735970,181810144,231941977,232791173,69804024,18101020,6201800,1695534,2873877,00-00000-20190530
National,2019-05-31,,,,,59425209,266742211,1560136513,366198034,402625760,195095542,247328476,244289816,72576286,20065256,7381575,1826479,2749289,00-00000-20190531
National,2019-06-01,,,,,64025939,262141481,1487985382,357822514,396128660,187001880,230454172,218807504,65981213,20042883,7155168,1783856,2807532,00-00000-20190601
National,2019-06-02,,,,,66245663,259921757,1359133928,324760698,366996036,171542040,210932590,194729309,58059616,19195979,7906158,1967129,3044373,00-00000-20190602
National,2019-06-03,,,,,62054566,264112854,1519425870,365604321,397564562,188693799,236368473,233017138,69273326,18048344,6298244,1705545,2852118,00-00000-20190603
National,2019-06-04,,,,,61603963,264563457,1452299212,344362261,375017876,179564375,227729397,228803592,68907583,17667207,5894965,1594550,2757406,00-00000-20190604
National,2019-06-05,,,,,61259266,264908154,1398847078,323079291,358669746,172902296,221863994,225341766,68780480,17795413,5958772,1641669,2813651,00-00000-20190605
National,2019-06-06,,,,,60635980,265531440,1510163473,359781306,386658052,186193260,238106907,237872644,71624649,18802536,6436326,1738961,2948832,00-00000-20190606
National,2019-06-07,,,,,60247060,265920360,1569052522,377834976,400984394,193546623,246054783,244365521,73428971,20433874,7628788,1892332,2882260,00-00000-20190607
National,2019-06-08,,,,,63183864,262983556,1534971802,374231553,402725778,192407719,238452516,226072310,68795775,20625452,7255827,1734519,2670353,00-00000-20190608
National,2019-06-09,,,,,66761905,259405515,1325924828,310402026,358627878,167688822,206925391,191301058,57932798,19674898,8309225,2019832,3042900,00-00000-20190609
National,2019-06-10,,,,,63384645,262782775,1396265606,319414924,365167123,173963288,220171364,220459886,67919262,18298655,6472228,1688175,2710701,00-00000-20190610
National,2019-06-11,,,,,63055296,263112124,1426956814,329365407,367238501,177603290,227294582,228430793,68958466,17754814,5913978,1575418,2821565,00-00000-20190611
National,2019-06-12,,,,,61489271,264678149,1409579018,325084426,359349851,173588148,224140309,228676082,69907003,18135456,6204956,1630822,2861965,00-00000-20190612
National,2019-06-13,,,,,61479857,264687563,1423801718,330853896,362319231,174518607,225858213,230210795,70367129,18737477,6500351,1648791,2787228,00-00000-20190613
National,2019-06-14,,,,,60453152,265714268,1493109481,347059451,377597370,184396168,237384641,240293004,73574908,20806977,7633829,1795217,2567916,00-00000-20190614
National,2019-06-15,,,,,63055332,263112088,1487419714,354180100,388307245,186129341,232134617,224652488,69703683,21177988,7267693,1553953,2312606,00-00000-20190615
National,2019-06-16,,,,,66159130,260008290,1247666150,287768825,331404391,155001071,194587729,187165505,58975838,20176533,8110459,1811225,2664574,00-00000-20190616
National,2019-06-17,,,,,62453298,263714122,1370212567,319154882,352829069,167454785,214400811,219541393,67896263,18241815,6389110,1635609,2668830,00-00000-20190617
National,2019-06-18,,,,,62226267,263941153,1373398096,312698927,353358185,168727198,217841822,224243564,68966529,17732058,5866811,1492273,2470729,00-00000-20190618
National,2019-06-19,,,,,62612647,263554773,1431688228,334809219,372341479,175490507,223369880,228040748,70080648,18123793,5915280,1381025,2135649,00-00000-20190619
National,2019-06-20,,,,,62289187,263878233,1392352014,317056480,360445053,172272268,219515807,224454836,69830073,18773000,6357393,1513141,2133963,00-00000-20190620
National,2019-06-21,,,,,61768788,264398632,1463382460,336371300,379637583,181492343,230139815,232338141,71934480,20429015,7336757,1612951,2090075,00-00000-20190621
National,2019-06-22,,,,,65119552,261047868,1489409906,359066935,396288432,185616412,228957592,219390649,68120615,20951793,7316940,1640329,2060209,00-00000-20190622
National,2019-06-23,,,,,61850935,264316485,1294384805,301884058,345077119,161113289,201962725,191311468,59175905,20174691,8468488,2056405,3160657,00-00000-20190623
National,2019-06-24,,,,,59798745,266368675,1391336960,321494146,358219501,170924228,219541849,222774390,68506223,18517543,6638021,1774738,2946321,00-00000-20190624
National,2019-06-25,,,,,63992302,262175118,1373881145,308838600,349409026,169227873,220799578,226614359,69664560,18295017,6384665,1728843,2918624,00-00000-20190625
National,2019-06-26,,,,,64587960,261579460,1390713346,317541724,351706232,170251801,222382887,228825928,70454048,18614797,6523502,1700042,2712385,00-00000-20190626
National,2019-06-27,,,,,63451896,262715524,1383509872,313079437,346651338,168494996,222132336,230811969,71695102,19248303,6942372,1763153,2690866,00-00000-20190627
National,2019-06-28,,,,,62205069,263962351,1455194561,335408666,366263241,178573889,232189922,236841528,72811891,20607949,7798315,1887186,2811974,00-00000-20190628
National,2019-06-29,,,,,65637871,260529549,1452726914,342723523,376649196,180043215,228088881,222500789,69090455,21201888,7724498,1863722,2840747,00-00000-20190629
National,2019-06-30,,,,,67377927,258789493,1297800915,301717439,344833048,161148222,202952679,193018213,59671547,20399049,8680451,2130943,3249324,00-00000-20190630
National,2019-07-01,,,,,63823031,262344389,1381136985,316821799,353762217,169178954,219318320,223224639,68658915,18587965,6734124,1812372,3037680,00-00000-20190701
National,2019-07-02,,,,,62987313,263180107,1370886758,307097683,348765432,168239800,220825691,226621721,69681958,18328518,6491053,1782612,3052290,00-00000-20190702
National,2019-07-03,,,,,61711814,264455606,1388208954,314831788,350300801,169606537,223004416,229928993,70685907,18680070,6644235,1758315,2767892,00-00000-20190703
